
PLUGINS [ 413 ]

Packages table
--------------

+-------+--------------------------+-----------------------------+---------------+---------------+---------+
| Count | Name                     | Slug                        | Version       | Installed     | Enabled |
+-------+--------------------------+-----------------------------+---------------+---------------+---------+
| 1     | VideoEmbed               | videoembed                  | v1.4.0        | not installed |         |
| 2     | Staticfilecache          | staticfilecache             | v1.0.0        | not installed |         |
| 3     | Embed                    | embed                       | v1.0.0        | not installed |         |
| 4     | filesource               | filesource                  | v0.2          | not installed |         |
| 5     | TopicMenu                | topicmenu                   | v1.1.0        | not installed |         |
| 6     | Archive Plus             | archive_plus                | v1.3.2        | not installed |         |
| 7     | File Content             | file-content                | v1.0.0        | not installed |         |
| 8     | Smileys                  | smileys                     | v1.2.1        | not installed |         |
| 9     | Shortcodes               | shortcodes                  | v1.2.0        | not installed |         |
| 10    | Gitter                   | gitter                      | v1.0.0        | not installed |         |
| 11    | Hitbox                   | hitbox                      | v1.0.0        | not installed |         |
| 12    | Twitch                   | twitch                      | v1.1.0        | not installed |         |
| 13    | Leaflet                  | leaflet                     | v1.0.1        | not installed |         |
| 14    | DropCaps                 | dropcaps                    | v1.3.4        | not installed |         |
| 15    | Markdown Color           | markdown-color              | v1.0.1        | not installed |         |
| 16    | Random                   | random                      | v1.5.0        | not installed |         |
| 17    | HTTP Basic Authentic...  | httpbasicauth               | v1.0.0        | not installed |         |
| 18    | Uikitifier               | uikitifier                  | v0.3.0        | not installed |         |
| 19    | Smartypants              | smartypants                 | v2.5.0        | not installed |         |
| 20    | Mini Code                | minicode                    | v1.1.0        | not installed |         |
| 21    | twigpcre                 | twigpcre                    | v1.8.0        | not installed |         |
| 22    | Customadmin              | customadmin                 | v1.0.0        | not installed |         |
| 23    | Tidyhtml                 | tidyhtml                    | v1.0.3        | not installed |         |
| 24    | Grav Pages as Data       | page-as-data                | v0.1.0        | not installed |         |
| 25    | Url-Paramfilter          | urlparamfilter              | v1.2          | not installed |         |
| 26    | Image Collage            | image-collage               | v1.0.4        | not installed |         |
| 27    | Music Card               | musiccard                   | v1.2.3        | not installed |         |
| 28    | Feed Us                  | feed-us                     | v0.1.3        | not installed |         |
| 29    | Log Errors               | logerrors                   | v1.0.1        | not installed |         |
| 30    | Themer                   | themer                      | v1.1.0        | not installed |         |
| 31    | Text Formatter           | textformatter               | v1.1.0        | not installed |         |
| 32    | Date Tools               | datetools                   | v1.0.6        | not installed |         |
| 33    | Tagcloud                 | tagcloud                    | v1.0.2        | not installed |         |
| 34    | Blogroll                 | blogroll                    | v1.0.2        | not installed |         |
| 35    | Snipcart                 | snipcart                    | v1.7.1        | not installed |         |
| 36    | Filter Strings           | filter-strings              | v1.1.0        | not installed |         |
| 37    | Twig Jasny Array         | twig-jasny-array            | v1.0.1        | not installed |         |
| 38    | Recent Posts             | recent-posts                | v1.0.0        | not installed |         |
| 39    | Chessboard               | chessboard                  | v0.1.0        | not installed |         |
| 40    | Header By Taxonomy       | header-by-taxonomy          | v1.0.1        | not installed |         |
| 41    | Tablesorter              | tablesorter                 | v1.1.4        | not installed |         |
| 42    | Roman                    | roman                       | v1.0.0        | not installed |         |
| 43    | Word Count               | wordcount                   | v1.0.0        | not installed |         |
| 44    | View Source              | view-source                 | v1.0.1        | not installed |         |
| 45    | Backlinks                | backlinks                   | v1.0.0        | not installed |         |
| 46    | Optimus                  | optimus                     | v1.3.0        | not installed |         |
| 47    | Scheduler                | scheduler                   | v1.0.0        | not installed |         |
| 48    | Flickr                   | flickr                      | v1.0.6        | not installed |         |
| 49    | Gallery                  | gffi                        | v0.0.1        | not installed |         |
| 50    | LoginLdap                | loginldap                   | v0.3.0        | not installed |         |
| 51    | Shopping Cart Stripe...  | shoppingcart-stripe         | v1.1.1        | not installed |         |
| 52    | Classifier               | classifier                  | v1.0.3        | not installed |         |
